0,8257.1472,18392.33065
0.1917,8009.25597,18392.33065
0.21092,7984.8189,17697.25119
0.23206,7958.02423,16276.25049
0.25512,7928.89622,14356.99605
0.28106,7896.25463,13842.26806
0.30893,7861.3448,13401.92388
0.33968,7823.0027,12841.74118
0.37379,7780.68569,12357.94913
0.41127,7734.46041,11391.79834
0.45258,7683.81234,9567.81336
0.49775,7628.83211,7789.23838
0.54723,7569.03941,6312.25696
0.602,7503.40733,6174.8266
0.66206,7432.09626,5192.86421
0.72836,7354.1557,3825.54114
0.80139,7269.25374,2521.81336
0.88163,7177.10291,1389.92195
0.96955,7077.46412,1600.74331
1.0666,6969.08571,1026.12708
1.17326,6851.89003,419.71074
1.29049,6725.35255,309.09551
1.41973,6194.88406,220.60881
1.56146,6322.45079,152.40391
1.71761,6296.39151,101.39917
1.88961,5878.60268,64.72981
2.07843,5827.64101,39.54729
2.28646,5044.94326,22.97996
2.51516,4348.78898,12.65227
2.76643,3611.11154,6.56744
3.04317,2779.27721,3.18982
3.34778,2010.56886,1.44064
3.68217,1486.80572,0.60198
4.05068,1081.2786,0.23012
4.4557,888.7732,0.07997
4.90107,742.01962,0.02501
5.39113,592.68635,0.00696
5.9302,474.71009,0.00171
6.52355,406.6583,0.00036
7.17601,282.89803,0.00007
7.89332,256.11205,0.00001
8.6827,163.69297,0
9.55087,94.54314,0
10.50601,91.79733,0
11.55675,44.30268,0
12.71224,41.07996,0
13.98351,21.01019,0
15.3821,12.23573,0
16.78069,6.94623,0